 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
19:30 |     1 |     1.000e-03 | 202621.6947 |      39841.1997 |   874.2218 |         12.4489 |             627
19:31 |     2 |     1.000e-03 | 25151.1705 |       6672.7221 |   310.2658 |          6.1694 |             627
19:32 |     3 |     1.000e-03 |  7650.5354 |       2797.2423 |   188.9383 |          4.4670 |             627
19:33 |     4 |     1.000e-03 |  3394.1547 |       1510.9196 |   152.3566 |          3.8997 |             632
19:33 |     5 |     1.000e-03 |  1410.0457 |       1461.5999 |   142.3075 |          3.3078 |             632
19:34 |     6 |     1.000e-03 |   602.6453 |        431.8947 |    79.8038 |          3.2767 |             635
19:35 |     7 |     1.000e-03 |   276.2983 |        396.4704 |    72.0998 |          3.1099 |             643
19:35 |     8 |     1.000e-03 |   166.5146 |        137.4322 |    38.9092 |          3.0043 |             643
19:36 |     9 |     1.000e-03 |   120.1522 |        105.0581 |    39.8556 |          2.8334 |             643
19:37 |    10 |     1.000e-03 |    95.3389 |         81.2741 |    35.7760 |          2.6771 |             643
19:38 |    11 |     1.000e-03 |    75.7386 |         65.4657 |    29.1285 |          2.5532 |             643
19:38 |    12 |     1.000e-03 |    64.6270 |         81.2776 |    36.1915 |          2.4471 |             643
19:39 |    13 |     1.000e-03 |    69.4063 |         62.3620 |    29.7234 |          2.3825 |             643
19:41 |    14 |     1.000e-03 |    63.1198 |         66.9311 |    32.3639 |          2.3272 |             643
19:41 |    15 |     1.000e-03 |    57.8717 |         64.2206 |    31.3910 |          2.2806 |             643
19:42 |    16 |     1.000e-03 |    57.9998 |         60.4332 |    29.6237 |          2.2416 |             643
19:43 |    17 |     1.000e-03 |    58.8872 |         58.6651 |    24.5437 |          2.2242 |             643
19:44 |    18 |     1.000e-03 |    66.7510 |        102.4770 |    38.9712 |          2.1582 |             643
19:44 |    19 |     1.000e-03 |    61.3690 |         53.6188 |    27.5715 |          2.1424 |             643
19:45 |    20 |     1.000e-03 |    53.3851 |         53.6324 |    22.7758 |          2.1141 |             643
19:46 |    21 |     1.000e-03 |    56.2805 |         60.4290 |    31.0735 |          2.0758 |             643
19:46 |    22 |     1.000e-03 |    48.2478 |         49.1856 |    27.0523 |          2.0676 |             643
19:47 |    23 |     1.000e-03 |    45.7335 |         51.0221 |    28.0898 |          2.0457 |             643
19:48 |    24 |     1.000e-03 |    44.3901 |         57.8069 |    30.1732 |          2.0268 |             643
19:48 |    25 |     1.000e-03 |    43.6791 |         44.2928 |    25.1665 |          2.0252 |             643
19:49 |    26 |     1.000e-03 |    42.6586 |         42.4699 |    22.1352 |          2.0193 |             643
19:50 |    27 |     1.000e-03 |    50.9988 |         50.2828 |    20.6213 |          2.0273 |             643
19:50 |    28 |     1.000e-03 |    72.0659 |         50.0954 |    27.6947 |          1.9997 |             643
19:51 |    29 |     1.000e-03 |    44.6101 |         65.8571 |    31.1102 |          1.9904 |             643
19:52 |    30 |     1.000e-03 |    38.1895 |         41.6496 |    24.4949 |          1.9886 |             643
19:52 |    31 |     1.000e-03 |    36.5709 |         36.6490 |    20.6451 |          1.9876 |             643
19:53 |    32 |     1.000e-03 |    35.5023 |         35.7346 |    19.2260 |          1.9846 |             643
19:54 |    33 |     1.000e-03 |    32.5808 |         63.4797 |    30.0062 |          1.9569 |             643
19:54 |    34 |     1.000e-03 |    44.3211 |         34.5077 |    21.7925 |          1.9651 |             643
19:55 |    35 |     1.000e-03 |    37.7096 |         32.2780 |    18.1218 |          1.9710 |             643
19:56 |    36 |     1.000e-03 |    31.0195 |         36.7995 |    22.9558 |          1.9617 |             643
19:56 |    37 |     1.000e-03 |    34.0614 |         31.8906 |    20.4360 |          1.9650 |             643
19:58 |    38 |     1.000e-03 |    33.7612 |         29.0556 |    18.2860 |          1.9686 |             643
19:58 |    39 |     1.000e-03 |    28.3760 |         31.0866 |    15.2094 |          1.9680 |             643
19:59 |    40 |     1.000e-03 |    35.1699 |         26.5994 |    17.7453 |          1.9469 |             643
20:00 |    41 |     1.000e-03 |    40.5813 |         26.3360 |    17.7375 |          1.9453 |             643
20:00 |    42 |     1.000e-03 |    44.6831 |         26.1020 |    15.3528 |          1.9489 |             643
20:01 |    43 |     1.000e-03 |    42.5385 |         48.9521 |    25.6008 |          1.9181 |             643
20:02 |    44 |     1.000e-03 |    33.1035 |         34.6898 |    21.6775 |          1.9238 |             643
20:02 |    45 |     1.000e-03 |    29.3332 |         25.2746 |    15.6719 |          1.9351 |             643
20:03 |    46 |     1.000e-03 |    28.0354 |         24.9114 |    14.4519 |          1.9367 |             643
20:04 |    47 |     1.000e-03 |    24.2838 |         23.1949 |    15.9121 |          1.9234 |             643
20:05 |    48 |     1.000e-03 |    22.9895 |         25.7651 |    18.1845 |          1.9092 |             643
20:05 |    49 |     1.000e-03 |    21.6092 |         22.4386 |    16.4577 |          1.9104 |             643
20:06 |    50 |     1.000e-03 |    25.5827 |         36.5175 |    21.6451 |          1.8970 |             643
